Device: cuda

  [B-finetune] epoch 11/25 lr=5.0e-06 train_loss=0.6597 train_acc=0.689 val_loss=0.7007 val_acc=0.648 val_macroF1=0.635 val_cancerRecall=0.595 (14.4s)
  [B-finetune] epoch 12/25 lr=5.0e-06 train_loss=0.6443 train_acc=0.691 val_loss=0.6971 val_acc=0.657 val_macroF1=0.649 val_cancerRecall=0.604 (14.3s)
  [B-finetune] early stopping at epoch 12 (no val macro-F1 improvement for 6 epochs)
=== efficientnet_b0 fold 4 DONE -- best val macro-F1 = 0.6638 ===

=== resnet50 fold 0 === train=865 val=216 class_weights=[1.3860000371932983, 0.6489999890327454, 1.3539999723434448]
  [A-head] epoch 1/12 lr=1.0e-03 train_loss=0.9679 train_acc=0.527 val_loss=0.8910 val_acc=0.620 val_macroF1=0.578 val_cancerRecall=0.714 (14.7s)
  [A-head] epoch 2/12 lr=1.0e-03 train_loss=0.8663 train_acc=0.571 val_loss=0.8587 val_acc=0.653 val_macroF1=0.640 val_cancerRecall=0.661 (14.5s)
  [A-head] epoch 3/12 lr=1.0e-03 train_loss=0.8387 train_acc=0.618 val_loss=0.8294 val_acc=0.593 val_macroF1=0.600 val_cancerRecall=0.491 (14.5s)
  [A-head] epoch 4/12 lr=1.0e-03 train_loss=0.8338 train_acc=0.569 val_loss=0.8020 val_acc=0.630 val_macroF1=0.594 val_cancerRecall=0.670 (14.5s)
  [A-head] epoch 5/12 lr=1.0e-03 train_loss=0.7966 train_acc=0.649 val_loss=0.8136 val_acc=0.634 val_macroF1=0.602 val_cancerRecall=0.661 (14.5s)
  [A-head] epoch 6/12 lr=1.0e-03 train_loss=0.7957 train_acc=0.659 val_loss=0.8316 val_acc=0.583 val_macroF1=0.598 val_cancerRecall=0.411 (14.5s)
  [A-head] epoch 7/12 lr=1.0e-03 train_loss=0.7873 train_acc=0.615 val_loss=0.8186 val_acc=0.630 val_macroF1=0.632 val_cancerRecall=0.518 (14.5s)
  [A-head] epoch 8/12 lr=1.0e-03 train_loss=0.7637 train_acc=0.630 val_loss=0.8048 val_acc=0.616 val_macroF1=0.612 val_cancerRecall=0.536 (14.5s)
  [A-head] early stopping at epoch 8 (no val macro-F1 improvement for 6 epochs)
